T,D,P
努力,노력,どりょく
接続,연결,せつぞく
直接,직접,ちょくせつ
台詞,대사,せりふ
誤用,잘못,ごよう
非常,매우,
日後,미래,にちご
結論,결론,けつろん
圧縮,압축,
即興,,
対象,대상,たいしょう
種類,종류,しゅるい
音読,낭독,おんどく
瞬時,순간,
変換,변환 전환,へんかん
話題,주제,わだい
反復,반복,はんぷく
知識,지식,ちしき
最後,마지막,さいご
利用,이용하다,
役立,유용한,やくだつ
今話,지금,
自覚,자각,じかく
効率,효율,こうりつ
単純,단순,
以下,없음,
意思,의미,いみ
解釈,해석,かいしゃく
予定,계획,よてい
前提,전제,ぜんてい
翌日,다음날,
今考,지금,いまこう
回声,메아리,
同時,동시,どうじ
発言,발언,はつげん
簡単,간단,かんたん
困難,어려움,こんなん
受容,수용,じゅよう
圧力,압력,あつりょく
興味,흥미,きょうみ
材料,재료,ざいりょう
目標,목표,もくひょう
今回,이번,こんかい
意志,의지,いし
従来,전통,じゅうらい
確保,확보,かくほ
順序,순서,じゅんじょ
手順,절차,てじゅん
全部,전부,ぜんぶ
長文,장문,ちょうぶん
本質,본질,ほんしつ
基準,기준,きじゅん
特化,전문화,とっか
丁寧,정중,ていねい
秒間,초속,
朝起,아침,
述語,서술어,じゅつご
今私,지금,いま わたし
特徴,특성,とくちょう
基本,기본,きほん
方針,방침,ほうしん
参考,참조,さんこう
要因,원인,よういん
共通,공통,きょうつう
対応,대응,たいおう
重視,중시,じゅうし
見解,견해,けんかい
普通,평범,ふつう
目指,목표,
提示,힌트,
見直,재검토,みなおし
誤差,오차,ごさ
即座,즉시,
成立,설립,せいりつ
工夫,아이디어,くふう
生成,생성,
展開,전개,てんかい
先生,선생,せんせい
一点,조금,いってん
素早,빠름,すばや
演化,진화,
複雑,복잡,ふくざつ
実戦,실전,じっせん
誠実,성실,せいじつ
一部,부분,いちぶ
主旨,주제,しゅじ
了解,이해,りょうかい
発生,발생,はっせい
返答,답변,へんとう
一人,한 사람,いちにん
役割,역할,やくわり
慎重,신중,しんちょう
活用,활용,かつよう
配分,배분,はいぶん
余分,여분,よぶん
把握,파악,
主題,주제,しゅだい
固定,고정,こてい
今後,앞으로,こんご
範囲,범위,はんい
様子,모습,ようす
修飾,수식,しゅうしょく
注目,주목,ちゅうもく
以上,없음,いじょう
特定,특정,とくてい
手間,수고,てま
余地,여유,よち
気分,기분,きぶん
分後,분기,ふんご
確証,확신,かくしょう
傾向,경향,けいこう
立場,입장,たちば
証拠,증거,しょうこ
面接,면접,めんせつ
多用,자주,
価値,가치,かち
優先,우선,ゆうせん
描写,묘사,
核心,핵심,こころ
現象,현상,げんしょう
安心,,あんしん
以前,이전,いぜん
支援,지원,しえん
不要,없음,いらない
想定,상정,そうてい
断絶,단절,だんぜつ
文型,형태,ぶんけい
名詞,명사,めいし
成長,성장,せいちょう
最近,최근,さいきん
現場,현장,げんば
関心,관심,かんしん
程度,정도,ていど
承知,알겠습니다,しょうち
活動,활동,かつどう
集中,집중,しゅうちゅう
別軸,다른축,べつじく
論点,논점,ろんてん
文脈,맥락,
現在,지금,いま
要点, 요점,ようてん
元気,건강,げんき
不明,불명,ふめい
移行,이동,いこう
注意,주의,ちゅうい
内面,내면,ないめん
補強,보강,
意見,의견,いけん
日本語,일본어,にほんご
韓国語,한국어,韓国語 カンコクゴ
学習中,학습,がくしゅうちゅう
修正文,수정,しゅうぶん
具体的,구체적,ぐたいてき
再構成,재구성,さいこうせい
効果的,효과적,こうかてき
再確認,재확인,さいかくにん
大丈夫,괜찮다,だいじょうぶ
構造的,구조적,こうぞうてき
構造化,구조화,こうぞうか 
感情的,감정적,かんじょうてき
交代式,,こうたいしき
宇宙語,공상어,うちゅうご
目的語,목적어,もくてきご
練習用,연습,れんしゅうよう
意識的,의식,いしきてき
自動化,자동화,じどうか
必要性,필요,ひつようせい
機能一,기능,
言語化,언어화,げんごか 
根本的,근본,こんぽんてき
会話力,대화능력,かいわりょく
学習上,학습,がくしゅうじょう
一回声,에코,いっかいせい
今実際,현재,
即興文,즉흥,いきょうぶん
現実的,현실적,げんじつてき
十分伝,충분함,
日変換,,にへんかん
方向性,방향,ほうこうせい
中間案,중재안,ちゅうかんあん
文法的,문법,ぶんぽうてき
一般論,일반,いっぱんろん
一番困,최악,
秒以内,초,びょういない
実験例,실험,じっけんれい
全体的,전체,ぜんたいてき
再整理,재정리,
不可能,불가능,ふかのう
会話中,대화,かいわちゅう
定着率,유지율,ていちゃくりつ
一度言,한번,いちどい
出発点,출발점,しゅっぱつてん
再利用,재활용,さいりよう
今日学,학습,
柔軟性,유연성,じゅうなんせい
指示語,지시어,しじご
簡略化,간소화,
方法名,메소드,ほうほうめい
即時性,즉시성,
観察力,관찰력,かんさつりょく
数日後,며칠,すうじつご
不自然,부자연스러움,ふしぜん
論理的,논리적,ろんりてき
外部化,외재화,
短時間,짧은 시간,たんじかん
選択肢,선택,せんたくし
応用力,적용력,おうようりょく
適合性,적합성,てきごうせい
適合性,적합성,てきごうせい
無意味,무의미,むいみ
反対語,반의어,はんたいご
一番的,최고,いちばん
文章例,예시,ぶんしょうれい
最終的,최종,さいしゅうてき
今勉強,지금,いまべんきょう
比較的,비교적 상대적,ひかくてき
修正提案,수정,しゅうせい ていあん
例文練習,예문,れいぶんれんしゅう
中間段階,중간,ちゅうかんだんかい
使用場面,사용처,しようばめん
単語学習,어휘,たんごがくしゅう
日本語文,일본어,にほんごぶん
問題意識,문제의식,もんだいいしき
単語勉強,단어학습,たんごべんきょう
団子勉強,,だんごべんきょう
会話構造,대화 구조,かいわこうぞう
目的意識,목적의식,もくてきいしき
勉強時間,학습시간,べんきょうじかん
構文練習,구문연습,こうぶんれんしゅう
文章構成,구성,ぶんしょうこうせい
動詞表現,동사,どうしひょうげん
観察対象,관찰물,おんざつたいしょう
学習効率,학습효율,がくしゅうこうりつ
長期記憶,장기기억,ちょうききおく
単語中心,단어,たんごちゅうしん
韓国語文,의미,ハングクゴ
例文学習,예문,れいぶんがくしゅう
理解確認,확인,りかいかくにん
修正学習,재학습,しゅうせいがくしゅう
補足語句,부가어,
単語選択,단어선택,たんごせんたく
実用段階,실용화,じつようだんかい
思考構造,사고방식,しこうこうぞう
一番大事,가장,いちばんだいじ
単語探索,단어검색,たんごたんさく
補足情報,추가정보,ほそくじょうほう
確信表現,확신,かくしんひょうげん
直接練習,실습,ちょくれんしゅう
目的表現,목적,もくてきひょうげん
調整可能,조정 가능,ちょうせいかのう
状態表現,상태,じょうたいひょうげん
確認方法,확인,かくにんほうほう
実用場面,실용성,じつようばめん
文章構造,구조,ぶんこうぞう
明日以降,내일,あしたいこう
記憶確認,기억 확인,きおくかくにん
反復練習,반복훈련,はんぷくれんしゅう
思考整理,정리,しこうせいり
用法比較,용법 비교,ようほうひかく
言語学習,언어학습,げんごがくしゅう
制限時間,제한시간,せいげんじかん
言語運用,언어사용,げんごうんよう
一回練習,연습,いっかいれんしゅう
短期記憶,단기기억,たんききおくりょく
接続練習,연습,せつぞくれんしゅう
応用練習,응용,おうようれんしゅう
処理負担,처리부담,しょりぶんたん
学習方法,학습법,がくしゅうほうほう
行為自体,행위,こういじたい
音読回数,읽기횟수,おんどくかいすう
母語禁止,금지,むごうきんし
練習方法,연습법,れんしゅうほうほう
再確認日,재확인,さいかくにち
処理能力,처리능력,しょりのうりょく
談語勉強,대화학습,たんごべんきょう
観点共有,관점 공유,かんてんきょうゆう
例文作成,예문,れいぶんさくせい
方法自体,방법,ほうほうじたい
準備練習,준비,じゅんびれんしゅう
構文意図,구조,こうぶんいと
例文構成,예문,れいぶんこうせい
単語発見,단어찾기,たんごはっけん
質問形式,질문,しつもんけいしき
一文一主張,논문,いちぶんいちしゅちょう
構造化思考,구조적 사고,こうぞうかしこう
単語学習中,단어,たんごがくしゅうちゅう
日本語練習,일본어학습,にほんごれんしゅう
結果型構文,결과,けっかがたこうぶん
日本語表現,일본어 표현,にほんごひょうげん
適応性確認,적응성,てきおうせいかくにん
日本語学習,일본어학습,にほんごがくしゅう
会話準備用,대화 준비,かいわじゅんびよう
機能的観察,기능관찰,きのうてきかんさつ
学習構造上,학습구조,がくしゅうこうぞうじょう
日本語習慣,일본습관,にほんごしゅうかん
語彙検索訓練,어휘훈련,ごいけんさくくんれん
会話型文構造,대화문구조,かいわがたぶんこうぞう
段階制表現訓練,단계훈련,だんかいせいひょうげんくんれん
日本語構成練習,일본어,にほんごこうせいれんしゅう
